"Name","ShirtNumber","Team","Spikes","Faults.x","Shots","Success..","Aces","Faults.y","Hits","Total.attempts","Average.per.set","Total"
"Alan Souza",21,"BRA",115,38,76,0,10,28,77,115,0.13,132
"Flavio Gualberto",23,"BRA",73,9,29,0,6,12,131,149,0.08,110
"Georgi Bratoev",1,"BUL",7,3,4,0,2,7,52,61,0.03,10
"Krasimir Georgiev",2,"BUL",23,7,22,0,1,18,49,68,0.02,41
"Martin Atanasov",4,"BUL",60,35,35,0,4,31,58,93,0.07,69
"Svetoslav Gotsev",5,"BUL",51,12,38,0,6,14,122,142,0.1,85
"Nikolay Uchikov",7,"BUL",84,28,71,0,3,12,60,75,0.05,93
"Todor Skrimov",8,"BUL",65,16,43,0,6,29,60,95,0.1,77
"Georgi Seganov",9,"BUL",10,2,9,0,11,17,176,204,0.19,29
"Valentin Bratoev",10,"BUL",4,12,12,0,1,6,13,20,0.02,6
"Velizar Chernokozhev",11,"BUL",11,7,16,0,1,4,11,16,0.02,13
"Viktor Yosifov",12,"BUL",11,2,8,0,2,3,28,33,0.03,17
"Teodor Todorov",14,"BUL",17,2,13,0,0,5,48,53,0,28
"Nikolay Penchev",17,"BUL",41,19,42,0,0,19,44,63,0,48
"Nikolay Nikolov",18,"BUL",7,1,7,0,0,5,18,23,0,10
"Aleks Grozdanov",20,"BUL",36,4,12,0,3,13,53,69,0.05,48
"Radoslav Parapunov",25,"BUL",3,1,1,0,0,2,1,3,0,3
"Plamen Shekerdzhiev",26,"BUL",3,3,6,0,0,5,13,18,0,4
"Nikolay Kolev",30,"BUL",1,0,0,0,0,0,2,2,0,1
"John Gordon Perrin",2,"CAN",74,31,79,0,2,21,69,92,0.03,88
"Nicholas Hoag",4,"CAN",113,40,65,0,6,32,95,133,0.1,128
"Justin Duff",6,"CAN",2,1,0,0,0,1,4,5,0,3
"Jason Derocco",9,"CAN",37,13,40,0,1,11,62,74,0.02,42
